,,NA_rate,mismatch_rate,no_of_NAs,no_of_totals,no_of_mismatches,no_of_non_NA_pairs,relative_NA_rate,relative_no_of_NAs,relative_no_of_totals
5837,Bor-1,0.685774946921,0.0,323,471,0,4,0.948717948718,74,78
6008,Duk,0.144373673036,0.0,68,471,0,72,0.0769230769231,6,78
6009,Eden-1,0.690021231423,0.0,325,471,0,15,0.807692307692,63,78
6016,Eds-1,0.00212314225053,0.0,1,471,0,77,0.0128205128205,1,78
6024,Fly-2-2,0.252653927813,-1,119,471,0,0,1.0,78,78
6039,Hovdala-2,0.00212314225053,0.0,1,471,0,73,0.0,0,78
6040,Kni-1,0.165605095541,0.0,78,471,0,1,0.987179487179,77,78
6042,Lom-1-1,0.0700636942675,-1,33,471,0,0,0.102564102564,8,78
6043,Lov-1,0.675159235669,0.0,318,471,0,8,0.846153846154,66,78
6046,Lov-5,0.532908704883,0.0,251,471,0,77,0.0,0,78
6064,Nyl-2,0.00212314225053,0.0,1,471,0,78,0.0,0,78
6074,Ör-1,0.00212314225053,0.0,1,471,0,77,0.0128205128205,1,78
6088,Stu-1-1,0.271762208068,-1,128,471,0,0,1.0,78,78
6243,Tottarp-2,0.0828025477707,0.0,39,471,0,72,0.0,0,78
6709,Bg-2,0.76008492569,-1,358,471,0,0,0.987179487179,77,78
6830,Kz-13,0.263269639066,0.0,124,471,0,72,0.0128205128205,1,78
6897,Ag-0,0.532908704883,0.0,251,471,0,78,0.0,0,78
6898,An-1,0.00212314225053,0.0,1,471,0,78,0.0,0,78
6899,Bay-0,0.0403397027601,0.0,19,471,0,78,0.0,0,78
6900,Bil-5,0.193205944798,0.0,91,471,0,77,0.0128205128205,1,78
6901,Bil-7,0.00212314225053,0.0,1,471,0,78,0.0,0,78
6903,Bor-4,0.526539278132,0.0,248,471,0,73,0.0,0,78
6904,Br-0,0.532908704883,0.0,251,471,0,78,0.0,0,78
6905,Bur-0,0.00212314225053,0.0,1,471,0,78,0.0,0,78
6906,C24,0.528662420382,0.0,249,471,0,77,0.0128205128205,1,78
6907,CIBC-17,0.0169851380042,0.0,8,471,0,77,0.0,0,78
6908,CIBC-5,0.0,0.0,0,471,0,77,0.0,0,78
6909,Col-0,0.0,0.0,0,471,0,78,0.0,0,78
6910,Ct-1,0.0488322717622,0.0,23,471,0,72,0.0,0,78
6911,Cvi-0,0.532908704883,0.0,251,471,0,77,0.0,0,78
6913,Eden-2,0.530785562633,0.0,250,471,0,78,0.0,0,78
6914,Edi-0,0.00849256900212,0.0,4,471,0,78,0.0,0,78
6915,Ei-2,0.212314225053,0.0,100,471,0,78,0.0,0,78
6916,Est-1,0.501061571125,-1,236,471,0,0,1.0,78,78
6917,Fab-2,0.526539278132,0.0,248,471,0,78,0.0,0,78
6918,Fab-4,0.00636942675159,0.0,3,471,0,78,0.0,0,78
6919,Ga-0,0.0382165605096,0.0,18,471,0,77,0.0,0,78
6920,Got-22,0.00212314225053,0.0,1,471,0,78,0.0,0,78
6921,Got-7,0.524416135881,0.0,247,471,0,78,0.0,0,78
6922,Gu-0,0.00636942675159,0.0,3,471,0,78,0.0,0,78
6923,HR-10,0.698513800425,-1,329,471,0,0,1.0,78,78
6924,HR-5,0.526539278132,0.0,248,471,0,77,0.0,0,78
6926,Kin-0,0.0297239915074,0.0,14,471,0,72,0.0,0,78
6927,Knox-10,0.685774946921,0.0,323,471,0,32,0.589743589744,46,78
6928,Knox-18,0.0,0.0,0,471,0,77,0.0,0,78
6929,Kondara,0.0169851380042,0.0,8,471,0,78,0.0,0,78
6930,Kz-1,0.552016985138,0.0,260,471,0,77,0.0,0,78
6931,Kz-9,0.00424628450106,0.0,2,471,0,73,0.0,0,78
6932,Ler-1,0.0424628450106,0.0,20,471,0,77,0.0,0,78
6933,LL-0,0.0297239915074,0.0,14,471,0,78,0.0,0,78
6936,Lz-0,0.0658174097665,0.0,31,471,0,78,0.0,0,78
6937,Mrk-0,0.0467091295117,0.0,22,471,0,77,0.0,0,78
6939,Mt-0,0.174097664544,-1,82,471,0,0,1.0,78,78
6940,Mz-0,0.552016985138,0.0,260,471,0,78,0.0,0,78
6942,Nd-1,0.00849256900212,0.0,4,471,0,78,0.0,0,78
6943,NFA-10,0.00636942675159,0.0,3,471,0,77,0.0,0,78
6944,NFA-8,0.526539278132,0.0,248,471,0,76,0.0,0,78
6945,Nok-3,0.00849256900212,0.0,4,471,0,78,0.0,0,78
6946,Oy-0,0.0,0.0,0,471,0,77,0.0,0,78
6951,Pu2-23,0.00212314225053,0.0,1,471,0,78,0.0,0,78
6956,Pu2-7,0.00424628450106,0.0,2,471,0,78,0.0,0,78
6957,Pu-2-8,0.0530785562633,0.0,25,471,0,78,0.0,0,78
6958,Ra-0,0.0424628450106,0.0,20,471,0,78,0.0,0,78
6959,Ren-1,0.0445859872611,0.0,21,471,0,78,0.0,0,78
6960,Ren-11,0.00212314225053,0.0,1,471,0,78,0.0,0,78
6961,Se-0,0.256900212314,0.0,121,471,0,78,0.0,0,78
6962,Shahdara,0.617834394904,0.0,291,471,0,76,0.0,0,78
6963,Sorbo,0.00212314225053,0.0,1,471,0,72,0.0,0,78
6964,Spr1-2,0.611464968153,0.0,288,471,0,77,0.0,0,78
6965,Spr1-6,0.0106157112527,0.0,5,471,0,78,0.0,0,78
6966,Sq-1,0.524416135881,0.0,247,471,0,77,0.0,0,78
6967,Sq-8,0.0,0.0,0,471,0,77,0.0,0,78
6968,Tamm-2,0.532908704883,0.0,251,471,0,78,0.0,0,78
6969,Tamm-27,0.552016985138,0.0,260,471,0,78,0.0,0,78
6970,Ts-1,0.0,0.0,0,471,0,78,0.0,0,78
6971,Ts-5,0.171974522293,-1,81,471,0,0,1.0,78,78
6972,Tsu-1,0.0424628450106,0.0,20,471,0,78,0.0,0,78
6973,Ull2-3,0.00212314225053,0.0,1,471,0,78,0.0,0,78
6974,Ull2-5,0.00212314225053,0.0,1,471,0,78,0.0,0,78
6975,Uod-1,0.0339702760085,0.0,16,471,0,78,0.0,0,78
