accession,Ler(2)/Col(3),PLANT,latritude grads,lat mins,long grads,long mins,#Leaves LD-V,days LD-V,#Leaves LD+V,days LD+V,#Leaves ShD-V,days ShD-V,Leaves ShD+V,Days ShD+V,FLC / Tubulin,FRI / Tubulin,days 0W+V,days 2W+V,days 4W+V,days 8W+V,JICleavesLD+V,JICftLD+V,JICleavesLD-V,JICftLD-V
Ag-0,1,9C,45,0,1.3,30,30.5,45.2,18.3,25.5,200,125,72.83333333,72.5,2.867,1.0283,72.5,49,NA,21.8,22.1,32.1,20.4,37.8
An-1,1,8G,51,30,4.3,30,8.3,26.3,12.8,20.4,46.3,68.5,29.5,48.16666667,0.111,1.3907,22.9,15.2,20.8,16.8,11.2,21.9,8,21.8
Bay-0,2,9F,49,0,11,0,12,27.5,13.8,23.2,63.2,88.5,47.5,79.33333333,0.196,0.3372,30.2,18.6,18.1,14.5,13.5,24.5,9.2,23.7
Bil-5,1,2G,63,19,18.29,29,200,200,24.5,33.5,200,125,84.25,107.5,1.113,2.7299,NA,125,84.1,25.2,NA,NA,NA,NA
Bil-7,1,2H,63,19,18.29,29,200,200,18.2,30.2,200,125,45.5,61.5,1.473,3.1047,NA,NA,78,31.8,20,36.5,200,125
Bor-1,1,4C,49,13,16.37,37,28.8,41.8,18.7,25,53.7,75.7,30.83333333,42.33333333,0.813,2.4135,44.7,28,23.5,20.2,15.8,27.6,21.6,34.1
Bor-4,1,4D,49,13,16.37,37,28.8,38.5,20.8,23.8,75.2,88.5,48.33333333,56.83333333,0.369,1.5878,37.1,23.6,19.6,17.9,16.9,25.7,15.4,30
Br-0,1,9A,49,0,16.3,30,67,92.5,19,23.3,107.8,109.6,31.33333333,36.83333333,6.27,2.0591,76.2,41,24.5,17.1,17.4,26.4,82.6,69.9
Bur-0,1,12E,53,30,-8,0,18.8,32,26.3,35.2,73.3,101,69.83333333,76.33333333,0.445,1.1803,43.5,34.4,32,28.8,NA,NA,25.1,37.1
C24,1,8A,40,12,-8.26,26,16.5,28.7,12.2,18.7,47,62.5,14,27,1.264,1.3541,44,23.2,18.1,13.5,12.5,23.5,20.2,32.2
