Arath_SDGI_1	AtCLF	P93831|O80455
Arath_SDGI_2	AtEZA1	Q9ZSM8|O04246
Arath_SDGI_3	AtPcG	O65312
Orysa_SDGI_1	SDG711	SDG000711
Orysa_SDGI_2	SDG718	SDG000718
Orysa_SDGI_3	OsEz	Q84UI6
Orysa_SDGI_4	Ospclf	Q8H2G7
Zeama_SDGI_1	ZmEzl2	Q8S4P5
Arath_SDGII_1	AtSETreg	Q9FIH7
Arath_SDGII_2	AtT20M3.10	Q9MA43
Arath_SDGII_3	AtTrxl1	Q9C5X4
Arath_SDGII_4	AtpTRX1	Q84WP4
Orysa_SDGII_1	SDG705	SDG000705
Orysa_SDGII_2	SDG717	SDG000717
Orysa_SDGII_3	OsP0489G09.11	Q8LJP4
Arath_SDGIII_1	At40.1KDa	Q9M1X9
Arath_SDGIII_2	At54.2KDa	O65563
Arath_SDGIII_3	At59.4KDa	Q9SRE2
Arath_SDGIII_4	AtT14N5	O80663
Orysa_SDGIII_1	SDG707	SDG000707
Orysa_SDGIII_2	SDG708	SDG000708
Zeama_SDGIII_1	ZmSET102	Q8L819
Zeama_SDGIII_2	ZmSET110	Q8H6A9
Arath_SDGIV_A1	AtF20H23.22	Q9SRV2
Arath_SDGIV_A2	AtSETreg1	O64827
Arath_SDGIV_A3	AtSUVR2	Q941L4
Arath_SDGIV_A4	AtSuVAR39-4	Q8W595
Orysa_SDGIV_A1	SDG706	SDG000706
Orysa_SDGIV_A2	SDG712	SDG000712
Orysa_SDGIV_A3	SDG719	SDG000719
Zeama_SDGIV_A1	ZmSDG117	Q84XG3
Arath_SDGIV_B1	AtpG9a	Q8VZ17|Q9C5P2|Q9ZQ40
Arath_SDGIV_B2	AtpG9A-SET2	O22781
Arath_SDGIV_B3	AtSET1	Q9FF80
Arath_SDGIV_B4	AtSUVH4	Q8GZB6|Q9C5P3|Q9FFX9
Orysa_SDGIV_B1	SDG703	SDG000703
Orysa_SDGIV_B2	SDG704	SDG000704
Orysa_SDGIV_B3	SDG709	SDG000709
Orysa_SDGIV_B4	SDG710	SDG000710
Orysa_SDGIV_B5	SDG714	SDG000714
Orysa_SDGIV_B6	SDG715	SDG000715
Zeama_SDGIV_B1	ZmSDG111	Q84XG4
Zeama_SDGIV_B2	ZmSET104	Q8L820
Zeama_SDGIV_B3	ZmSET118	Q8L821
Arath_SDGV_1	AtHypo3	O23372
Arath_SDGV_2	AtP1clone	Q9LSY2
Arath_SDGV_3	AtT24P13.14	Q9LQX6
Orysa_SDGV_1	SDG701	SDG000701
Orysa_SDGV_2	SDG713	SDG000713
Orysa_SDGV_3	SDG716	SDG000716
Orysa_SDGV_4	Os57.7KDa	Q8S7V1
Orysa_SDGV_5	OspTPR	Q8GTZ5
Zeama_SDGV_1	ZmpSETreg	Q8SA95
Arath_SDGVI_1	At43.0KDa	Q9LXE2
Arath_SDGVI_2	AtcloneMTH16	Q9FXW6
Arath_SDGVI_3	AtUn	Q9FNE9
Orysa_SDGVI_1	SDG720	SDG000720
Arath_SDGVII_1	At40.5KDa	Q94B58
Arath_SDGVII_2	AtF16A14.25	Q9LMF5
Arath_SDGVII_3	AtF21J9.27	Q9FYK3
Arath_SDGVII_4	AtHypo2	Q8L9I6
Arath_SDGVII_5	AtpMT	O65218
Arath_SDGVII_6	AtRubMt	Q8LF17
Arath_SDGVII_7	AtRubMt2	Q9XI84
Arath_SDGVII_8	AtRubMt3	Q9S7D2
