Arath_SDGI_1	AtCLF	O80455	Y10580
Arath_SDGI_2	AtEZA1	Q9ZSM8	AF100163
Arath_SDGI_3	AtPcG	O65312	AF060485
Orysa_SDGI_1	SDG711	SDG000711
Orysa_SDGI_2	SDG718	SDG000718
Orysa_SDGI_3	OsEz	CAD18871	AJ421722
Orysa_SDGI_4	Ospclf	Q8H2G7	AP005813
Zeama_SDGI_1	ZmEzl2	Q8S4P5	AF443597
Arath_SDGII_1	AtSETreg	Q9FIH7	AB016888
Arath_SDGII_2	AtT20M3.10	Q9MA43	AC009999
Arath_SDGII_3	AtTrxl1	Q9C5X4	AF329273
Arath_SDGII_4	AtpTRX1	AAO22754	BT002941
Orysa_SDGII_1	SDG705	SDG000705
Orysa_SDGII_2	SDG717	SDG000717
Orysa_SDGII_3	OsP0489G09.11	Q8LJP4	AP002745
Arath_SDGIII_1	At40.1KDa	Q9M1X9	AL138647
Arath_SDGIII_2	At54.2KDa	O65563	AL022198
Arath_SDGIII_3	At59.4KDa	Q9SRE2	AC010718
Arath_SDGIII_4	AtT14N5	O80663	AC004260
Orysa_SDGIII_1	SDG707	SDG000707
Orysa_SDGIII_2	SDG708	SDG000708
Zeama_SDGIII_1	ZmSET102	Q8L819	AY122273
Zeama_SDGIII_2	ZmSET110	AAN41254	AF545814
Arath_SDGIV_A1	AtF20H23.22	Q9SRV2	AC009540
Arath_SDGIV_A2	AtSETreg1	O64827	AC004482
Arath_SDGIV_A3	AtSUVR2	Q941L4	AY045576
Arath_SDGIV_A4	AtSuVAR39-4	Q8W595	AF408062
Orysa_SDGIV_A1	SDG706	SDG000706
Orysa_SDGIV_A2	SDG712	SDG000712
Orysa_SDGIV_A3	SDG719	SDG000719
Zeama_SDGIV_A1	ZmSDG117	AAO32935	AY187719
Arath_SDGIV_B1	AtpG9a	AAO22580	AF344449
Arath_SDGIV_B2	AtpG9A-SET2	O22781	AF344445
Arath_SDGIV_B3	AtSET1	Q9FF80	AF344444
Arath_SDGIV_B4	AtSUVH4	Q9C5P3	AF344447
Orysa_SDGIV_B1	SDG703	SDG000703
Orysa_SDGIV_B2	SDG704	SDG000704
Orysa_SDGIV_B3	SDG709	SDG000709
Orysa_SDGIV_B4	SDG710	SDG000710
Orysa_SDGIV_B5	SDG714	SDG000714
Orysa_SDGIV_B6	SDG715	SDG000715
Zeama_SDGIV_B1	ZmSDG111	AAO32934	AY187718
Zeama_SDGIV_B2	ZmSET104	Q8L820	AY122272
Zeama_SDGIV_B3	ZmSET118	Q8L821	AY122271
Arath_SDGV_1	AtHypo3	O23372	Z97338
Arath_SDGV_2	AtP1clone	Q9LSY2	AB025634
Arath_SDGV_3	AtT24P13.14	Q9LQX6	AC006535
Orysa_SDGV_1	SDG701	SDG000701
Orysa_SDGV_2	SDG713	SDG000713
Orysa_SDGV_3	SDG716	SDG000716
Orysa_SDGV_4	Os57.7KDa	Q8S7V1	AC073556
Orysa_SDGV_5	OspTPR	Q8GTZ5	AC084023
Zeama_SDGV_1	ZmpSETreg	Q8SA95	AF466646
Arath_SDGVI_1	At43.0KDa	Q9LXE2	AL353994
Arath_SDGVI_2	AtcloneMTH16	Q9FXW6	AB020752
Arath_SDGVI_3	AtUn	Q9FNE9	AB006701
Orysa_SDGVI_1	SDG720	SDG000720
Arath_SDGVII_1	At40.5KDa	Q94B58	AY042836
Arath_SDGVII_2	AtF16A14.25	Q9LMF5	AC068197
Arath_SDGVII_3	AtF21J9.27	Q9FYK3	AC000103
Arath_SDGVII_4	AtHypo2	Q8L9I6	AY088409
Arath_SDGVII_5	AtpMT	O65218	AF058800
Arath_SDGVII_6	AtRubMt	Q8LF17	AY085096
Arath_SDGVII_7	AtRubMt2	Q9XI84	AC007576
Arath_SDGVII_8	AtRubMt3	Q9S7D2	AC013483
