Arath_SDGI_1	AtCLF	O80455	CAA71599.1
Arath_SDGI_2	AtEZA1	Q9ZSM8	AAD09108.1
Arath_SDGI_3	AtPcG	O65312	AAC39446.1
Orysa_SDGI_1	SDG711		SDG000711
Orysa_SDGI_2	SDG718		SDG000718
Orysa_SDGI_3	OsEz	CAD18871	CAD18871.3
Orysa_SDGI_4	Ospclf	Q8H2G7	BAC20634.1
Zeama_SDGI_1	ZmEzl2	Q8S4P5	AAM13421.1
Arath_SDGII_1	AtSETreg	Q9FIH7	BAB10481.1
Arath_SDGII_2	AtT20M3.10	Q9MA43	AAF29390.1
Arath_SDGII_3	AtTrxl1	Q9C5X4	AAK01237.1
Arath_SDGII_4	AtpTRX1	AAO22754	AAO22754.1
Orysa_SDGII_1	SDG705		SDG000705
Orysa_SDGII_2	SDG717		SDG000717
Orysa_SDGII_3	OsP0489G09.11	Q8LJP4	BAC00543.1
Arath_SDGIII_1	At40.1KDa	Q9M1X9	CAB75815.1
Arath_SDGIII_2	At54.2KDa	O65563	CAA18207.1
Arath_SDGIII_3	At59.4KDa	Q9SRE2	AAF04434.1
Arath_SDGIII_4	AtT14N5	O80663	AAC34358.1
Orysa_SDGIII_1	SDG707		SDG000707
Orysa_SDGIII_2	SDG708		SDG000708
Zeama_SDGIII_1	ZmSET102	Q8L819	AAM89289.1
Zeama_SDGIII_2	ZmSET110	AAN41254	AAN41254.1
Arath_SDGIV_A1	AtF20H23.22	Q9SRV2	AAF00642.1
Arath_SDGIV_A2	AtSETreg1	O64827	AAC17088.1
Arath_SDGIV_A3	AtSUVR2	Q941L4	AAK92218.1
Arath_SDGIV_A4	AtSuVAR39-4	Q8W595	AAL01113.2
Orysa_SDGIV_A1	SDG706		SDG000706
Orysa_SDGIV_A2	SDG712		SDG000712
Orysa_SDGIV_A3	SDG719		SDG000719
Zeama_SDGIV_A1	ZmSDG117	AAO32935	AAO32935.1
Arath_SDGIV_B1	AtpG9a	AAO22580	AAK28971.1
Arath_SDGIV_B2	AtpG9A-SET2	O22781	AAK28967.1
Arath_SDGIV_B3	AtSET1	Q9FF80	AAK28966.1
Arath_SDGIV_B4	AtSUVH4	Q9C5P3	AAK28969.1
Orysa_SDGIV_B1	SDG703		SDG000703
Orysa_SDGIV_B2	SDG704		SDG000704
Orysa_SDGIV_B3	SDG709		SDG000709
Orysa_SDGIV_B4	SDG710		SDG000710
Orysa_SDGIV_B5	SDG714		SDG000714
Orysa_SDGIV_B6	SDG715		SDG000715
Zeama_SDGIV_B1	ZmSDG111	AAO32934	AAO32934.1
Zeama_SDGIV_B2	ZmSET104	Q8L820	AAM89288.1
Zeama_SDGIV_B3	ZmSET118	Q8L821	AAM89287.1
Arath_SDGV_1	AtHypo3	O23372	CAB10297.1
Arath_SDGV_2	AtP1clone	Q9LSY2	BAB02844.1
Arath_SDGV_3	AtT24P13.14	Q9LQX6	AAF87042.1
Orysa_SDGV_1	SDG701		SDG000701
Orysa_SDGV_2	SDG713		SDG000713
Orysa_SDGV_3	SDG716		SDG000716
Orysa_SDGV_4	Os57.7KDa	Q8S7V1	AAL84316.1
Orysa_SDGV_5	OspTPR	Q8GTZ5	AAN05556.1
Zeama_SDGV_1	ZmpSETreg	Q8SA95	AAL75997.1
Arath_SDGVI_1	At43.0KDa	Q9LXE2	CAB89351.1
Arath_SDGVI_2	AtcloneMTH16	Q9FXW6	BAB09537.1
Arath_SDGVI_3	AtUn	Q9FNE9	BAB10399.1
Orysa_SDGVI_1	SDG720		SDG000720
Arath_SDGVII_1	At40.5KDa	Q94B58	AAK68776.1
Arath_SDGVII_2	AtF16A14.25	Q9LMF5	AAF79410.1
Arath_SDGVII_3	AtF21J9.27	Q9FYK3	AAF97974.1
Arath_SDGVII_4	AtHypo2	Q8L9I6	AAM65946.1
Arath_SDGVII_5	AtpMT	O65218	AAC14296.1
Arath_SDGVII_6	AtRubMt	Q8LF17	AAM61650.1
Arath_SDGVII_7	AtRubMt2	Q9XI84	AAD39289.1
Arath_SDGVII_8	AtRubMt3	Q9S7D2	AAF21177.1
